Age,FPR_White,CI_FPR_White,FPR_Black,CI_FPR_Black,FPR_Hisp,CI_FPR_Hisp,FPR_Other,CI_FPR_Other,FPR_Asian,CI_FPR_Asian,FPR_American,CI_FPR_American
0-20,0.183,0.014,0.667,0,0,0,0.6,0.035,,,,
20-40,0.238,0.004,0.272,0.006,0.257,0.008,0.229,0.006,0.165,0.008,0.083,0.009
40-60,0.186,0.004,0.235,0.006,0.299,0.008,0.117,0.004,0.119,0.008,0.185,0.009
60-80,0.127,0.003,0.178,0.006,0.21,0.008,0.072,0.003,0.078,0.004,0.036,0.005
80+,0.136,0.004,0.156,0.01,0.152,0.031,0.128,0.008,0.239,0.032,0.4,0
