Race,FPR_F,CI_FPR_F,FPR_M,CI_FPR_M
White,0.118,0.013,0.083,0.006
Black,0.103,0.006,0.09,0.004
Hisp,0.201,0.004,0.202,0.007
Other,0.222,0.011,0.237,0.006
Asian,0.101,0.006,0.131,0.002
American,0.135,0.004,0.145,0.004
