,race,FPR_M,FPR_F
0,WHITE,0.096,0.105
1,BLACK/AFRICAN AMERICAN,0.141,0.2
2,HISPANIC/LATINO,0.14,0.187
3,OTHER,0.081,0.107
4,ASIAN,0.077,0.11
5,AMERICAN INDIAN/ALASKA NATIVE,0.123,0.116
