,age,FPR_White,FPR_Black,FPR_Hisp,FPR_Other,FPR_Asian,FPR_American
0,60-80,0.042,0.061,0.026,0.068,0.079,0.116
1,40-60,0.061,0.071,0.05,0.053,0.076,0.077
2,20-40,0.081,0.086,0.029,0.095,0.053,0.113
3,80+,0.056,0.048,0.047,0.099,0.033,0.091
4,0-20,0.015,0.0,0.333,0.333,0.0,0.333
