,age,FPR_White,FPR_Black,FPR_Hisp,FPR_Other,FPR_Asian,FPR_American
0,60-80,0.046,0.081,0.026,0.067,0.089,0.081
1,40-60,0.07,0.068,0.05,0.058,0.074,0.077
2,20-40,0.094,0.086,0.019,0.11,0.08,0.129
3,80+,0.054,0.048,0.093,0.099,0.041,0.0
4,0-20,0.015,0.0,0.333,0.333,0.0,0.333
