,age,FPR_White,FPR_Black,FPR_Hisp,FPR_Other,FPR_Asian,FPR_American
0,60-80,0.058,0.074,0.044,0.081,0.081,0.093
1,40-60,0.096,0.071,0.078,0.084,0.111,0.096
2,20-40,0.131,0.086,0.019,0.116,0.118,0.145
3,80+,0.062,0.068,0.047,0.108,0.047,0.091
4,0-20,0.103,0.034,0.333,0.25,0.0,0.333
