race,FPR_F,CI_FPR_F,FPR_M,CI_FPR_M
AMERICAN INDIAN/ALASKA NATIVE,0.12,0.019,0.116,0.015
ASIAN,0.123,0.013,0.084,0.009
BLACK/AFRICAN AMERICAN,0.22,0.018,0.164,0.014
HISPANIC/LATINO,0.198,0.008,0.16,0.012
OTHER,0.116,0.008,0.087,0.006
WHITE,0.123,0.01,0.111,0.01
