,age,FPR_White,FPR_Black,FPR_Hisp,FPR_Other,FPR_Asian,FPR_American
0,60-80,0.038,0.061,0.026,0.064,0.07,0.07
1,40-60,0.062,0.059,0.05,0.05,0.06,0.058
2,20-40,0.073,0.078,0.019,0.095,0.064,0.097
3,80+,0.056,0.034,0.07,0.09,0.03,0.0
4,0-20,0.0,0.0,0.333,0.333,0.0,0.333
