,race,FPR_M,FPR_F
0,WHITE,0.117,0.129
1,BLACK/AFRICAN AMERICAN,0.166,0.216
2,HISPANIC/LATINO,0.167,0.198
3,OTHER,0.094,0.128
4,ASIAN,0.097,0.142
5,AMERICAN INDIAN/ALASKA NATIVE,0.094,0.116
