,race,FPR_M,FPR_F
0,WHITE,0.125,0.136
1,BLACK/AFRICAN AMERICAN,0.185,0.255
2,HISPANIC/LATINO,0.176,0.21
3,OTHER,0.094,0.121
4,ASIAN,0.091,0.133
5,AMERICAN INDIAN/ALASKA NATIVE,0.14,0.157
