Age,FPR_F,CI_FPR_F,FPR_M,CI_FPR_M
0-20,0.045,0.008,0.079,0.034
20-40,0.08,0.019,0.094,0.013
40-60,0.073,0.013,0.067,0.012
60-80,0.064,0.006,0.05,0.007
80-,0.081,0.008,0.046,0.007
