,race,FPR_M,FPR_F
0,WHITE,0.105,0.121
1,BLACK/AFRICAN AMERICAN,0.162,0.212
2,HISPANIC/LATINO,0.157,0.193
3,OTHER,0.081,0.109
4,ASIAN,0.072,0.109
5,AMERICAN INDIAN/ALASKA NATIVE,0.105,0.099
