,race,FPR_M,FPR_F
0,WHITE,0.114,0.126
1,BLACK/AFRICAN AMERICAN,0.165,0.217
2,HISPANIC/LATINO,0.159,0.202
3,OTHER,0.085,0.116
4,ASIAN,0.084,0.123
5,AMERICAN INDIAN/ALASKA NATIVE,0.117,0.11
