age,FPR_White,CI_FPR_White,FPR_Black,CI_FPR_Black,FPR_Hisp,CI_FPR_Hisp,FPR_Other,CI_FPR_Other,FPR_Asian,CI_FPR_Asian,FPR_American,CI_FPR_American
0-20,0.032,0.036,0.007,0.013,0.333,0.0,0.316,0.033,0.0,0.0,0.333,0.0
20-40,0.092,0.02,0.084,0.003,0.021,0.004,0.104,0.008,0.076,0.022,0.123,0.016
40-60,0.071,0.013,0.07,0.008,0.056,0.011,0.06,0.012,0.08,0.016,0.092,0.032
60-80,0.047,0.007,0.071,0.008,0.031,0.007,0.072,0.007,0.081,0.006,0.102,0.028
80-,0.061,0.008,0.052,0.012,0.061,0.018,0.104,0.011,0.039,0.006,0.055,0.044
