Race,#,FPR,CI_FPR
White,10279.0,0.161,0.009
Black,2287.0,0.234,0.014
Hisp,850.0,0.227,0.011
Other,732.0,0.151,0.009
Asian,498.0,0.196,0.007
American,129.0,0.15,0.018
