,race,FPR_M,FPR_F
0,WHITE,0.1,0.112
1,BLACK/AFRICAN AMERICAN,0.15,0.206
2,HISPANIC/LATINO,0.142,0.177
3,OTHER,0.08,0.105
4,ASIAN,0.075,0.113
5,AMERICAN INDIAN/ALASKA NATIVE,0.117,0.134
