age,FPR_White,CI_FPR_White,FPR_Black,CI_FPR_Black,FPR_Hisp,CI_FPR_Hisp,FPR_Other,CI_FPR_Other,FPR_Asian,CI_FPR_Asian,FPR_American,CI_FPR_American
0-20,0.047,0.017,0.0,0.0,0.333,0.0,0.383,0.04,0.0,0.0,0.467,0.16
20-40,0.099,0.005,0.08,0.006,0.019,0.0,0.096,0.004,0.07,0.006,0.145,0.017
40-60,0.079,0.005,0.108,0.008,0.043,0.007,0.06,0.005,0.079,0.006,0.115,0.012
60-80,0.055,0.004,0.072,0.006,0.021,0.004,0.078,0.005,0.08,0.006,0.104,0.014
80-,0.06,0.006,0.087,0.015,0.056,0.011,0.106,0.009,0.034,0.003,0.0,0.0
