,race,FPR_M,FPR_F
0,WHITE,0.11,0.125
1,BLACK/AFRICAN AMERICAN,0.172,0.221
2,HISPANIC/LATINO,0.161,0.193
3,OTHER,0.094,0.111
4,ASIAN,0.083,0.124
5,AMERICAN INDIAN/ALASKA NATIVE,0.129,0.128
