,age,FPR_White,FPR_Black,FPR_Hisp,FPR_Other,FPR_Asian,FPR_American
0,60-80,0.056,0.071,0.026,0.079,0.085,0.116
1,40-60,0.082,0.11,0.05,0.063,0.082,0.135
2,20-40,0.104,0.086,0.019,0.101,0.08,0.145
3,80+,0.057,0.075,0.047,0.104,0.033,0.0
4,0-20,0.044,0.0,0.333,0.417,0.0,0.333
