,race,FPR_M,FPR_F
0,WHITE,0.106,0.125
1,BLACK/AFRICAN AMERICAN,0.165,0.221
2,HISPANIC/LATINO,0.159,0.2
3,OTHER,0.085,0.105
4,ASIAN,0.078,0.115
5,AMERICAN INDIAN/ALASKA NATIVE,0.123,0.122
