,age,FPR_White,FPR_Black,FPR_Hisp,FPR_Other,FPR_Asian,FPR_American
0,60-80,0.061,0.081,0.026,0.088,0.088,0.116
1,40-60,0.082,0.119,0.05,0.065,0.089,0.096
2,20-40,0.101,0.086,0.019,0.101,0.064,0.161
3,80+,0.072,0.109,0.07,0.123,0.038,0.0
4,0-20,0.059,0.0,0.333,0.417,0.0,0.667
