,age,FPR_White,FPR_Black,FPR_Hisp,FPR_Other,FPR_Asian,FPR_American
0,60-80,0.052,0.074,0.018,0.074,0.08,0.093
1,40-60,0.072,0.101,0.035,0.054,0.074,0.115
2,20-40,0.092,0.078,0.019,0.092,0.07,0.113
3,80+,0.055,0.075,0.047,0.099,0.03,0.0
4,0-20,0.029,0.0,0.333,0.333,0.0,0.333
