,age,FPR_White,FPR_Black,FPR_Hisp,FPR_Other,FPR_Asian,FPR_American
0,60-80,0.054,0.074,0.018,0.075,0.078,0.116
1,40-60,0.084,0.113,0.035,0.062,0.078,0.115
2,20-40,0.103,0.07,0.019,0.092,0.07,0.161
3,80+,0.06,0.102,0.047,0.099,0.033,0.0
4,0-20,0.074,0.0,0.333,0.333,0.0,0.667
