Age,FPR_F,CI_FPR_F,FPR_M,CI_FPR_M
0-20,0.086,0.019,0.079,0.014
20-40,0.076,0.005,0.101,0.004
40-60,0.081,0.005,0.073,0.005
60-80,0.071,0.006,0.055,0.003
80-,0.081,0.01,0.046,0.005
