,age,FPR_White,FPR_Black,FPR_Hisp,FPR_Other,FPR_Asian,FPR_American
0,60-80,0.05,0.061,0.018,0.073,0.071,0.081
1,40-60,0.074,0.095,0.043,0.054,0.072,0.115
2,20-40,0.095,0.078,0.019,0.092,0.064,0.145
3,80+,0.054,0.075,0.07,0.104,0.036,0.0
4,0-20,0.029,0.0,0.333,0.417,0.0,0.333
