,race,FPR_M,FPR_F
0,WHITE,0.104,0.122
1,BLACK/AFRICAN AMERICAN,0.158,0.216
2,HISPANIC/LATINO,0.153,0.191
3,OTHER,0.083,0.12
4,ASIAN,0.086,0.12
5,AMERICAN INDIAN/ALASKA NATIVE,0.117,0.134
