race,FPR_F,CI_FPR_F,FPR_M,CI_FPR_M
AMERICAN INDIAN/ALASKA NATIVE,0.127,0.007,0.119,0.006
ASIAN,0.117,0.004,0.08,0.004
BLACK/AFRICAN AMERICAN,0.216,0.005,0.16,0.008
HISPANIC/LATINO,0.189,0.008,0.152,0.007
OTHER,0.109,0.006,0.085,0.005
WHITE,0.12,0.005,0.105,0.003
