index,FPR_0-20,FPR_20-40,FPR_40-60,FPR_60-80,FPR_80-
mean,0.4856,0.39020000000000005,0.27380000000000004,0.1628,0.1142
std,0.026987033923719744,0.011903780911962373,0.007463243262818123,0.007661592523751188,0.007463243262818117
