Age,FPR_F,CI_FPR_F,FPR_M,CI_FPR_M
0-20,0.041,0,0.053,0
20-40,0.06,0,0.083,0
40-60,0.063,0,0.056,0
60-80,0.056,0,0.039,0
80+,0.077,0,0.038,0
