age,FPR_White,CI_FPR_White,FPR_Black,CI_FPR_Black,FPR_Hisp,CI_FPR_Hisp,FPR_Other,CI_FPR_Other,FPR_Asian,CI_FPR_Asian,FPR_American,CI_FPR_American
0-20,0.618,0.036,1.0,0.0,0.1,0.049,0.8,0.124,,,,
20-40,0.223,0.013,0.263,0.022,0.262,0.008,0.241,0.006,0.366,0.041,1.0,0.0
40-60,0.209,0.011,0.293,0.017,0.32,0.021,0.167,0.011,0.192,0.005,0.21,0.025
60-80,0.143,0.009,0.217,0.013,0.168,0.006,0.116,0.005,0.177,0.015,0.035,0.01
80-,0.122,0.008,0.135,0.011,0.124,0.011,0.117,0.024,0.192,0.006,0.0,0.0
