,race,FPR_M,FPR_F
0,WHITE,0.153,0.167
1,BLACK/AFRICAN AMERICAN,0.186,0.268
2,HISPANIC/LATINO,0.213,0.242
3,OTHER,0.145,0.156
4,ASIAN,0.14,0.295
5,AMERICAN INDIAN/ALASKA NATIVE,0.149,0.218
