,age,FPR_White,FPR_Black,FPR_Hisp,FPR_Other,FPR_Asian,FPR_American
0,60-80,0.14,0.212,0.163,0.119,0.177,0.043
1,40-60,0.21,0.283,0.316,0.162,0.186,0.25
2,20-40,0.23,0.255,0.275,0.254,0.414,1.0
3,80+,0.117,0.124,0.121,0.112,0.182,0.0
4,0-20,0.636,1.0,0.125,0.8,,
