Age,FPR_F,CI_FPR_F,FPR_M,CI_FPR_M
0-20,0.508,0.054,0.6,0.033
20-40,0.316,0.017,0.201,0.011
40-60,0.264,0.013,0.203,0.012
60-80,0.174,0.01,0.139,0.009
80-,0.127,0.009,0.124,0.009
