,age,FPR_White,FPR_Black,FPR_Hisp,FPR_Other,FPR_Asian,FPR_American
0,60-80,0.142,0.218,0.169,0.108,0.172,0.022
1,40-60,0.213,0.293,0.32,0.181,0.198,0.2
2,20-40,0.235,0.277,0.255,0.238,0.414,1.0
3,80+,0.124,0.146,0.136,0.136,0.192,0.0
4,0-20,0.591,1.0,0.125,0.8,,
