,race,FPR_M,FPR_F
0,WHITE,0.148,0.161
1,BLACK/AFRICAN AMERICAN,0.178,0.268
2,HISPANIC/LATINO,0.211,0.237
3,OTHER,0.138,0.153
4,ASIAN,0.137,0.284
5,AMERICAN INDIAN/ALASKA NATIVE,0.122,0.127
