,age,FPR_White,FPR_Black,FPR_Hisp,FPR_Other,FPR_Asian,FPR_American
0,60-80,0.137,0.211,0.166,0.116,0.167,0.022
1,40-60,0.195,0.276,0.312,0.162,0.186,0.175
2,20-40,0.21,0.234,0.255,0.238,0.345,1.0
3,80+,0.121,0.132,0.121,0.096,0.192,0.0
4,0-20,0.591,1.0,0.125,0.8,,
