,age,FPR_White,FPR_Black,FPR_Hisp,FPR_Other,FPR_Asian,FPR_American
0,60-80,0.135,0.202,0.163,0.116,0.163,0.043
1,40-60,0.201,0.287,0.293,0.151,0.192,0.2
2,20-40,0.205,0.248,0.255,0.238,0.345,1.0
3,80+,0.112,0.122,0.106,0.088,0.192,0.0
4,0-20,0.591,1.0,0.0,0.6,,
