,race,FPR_M,FPR_F
0,WHITE,0.171,0.186
1,BLACK/AFRICAN AMERICAN,0.22,0.305
2,HISPANIC/LATINO,0.232,0.263
3,OTHER,0.151,0.179
4,ASIAN,0.158,0.301
5,AMERICAN INDIAN/ALASKA NATIVE,0.162,0.164
