,race,FPR_M,FPR_F
0,WHITE,0.152,0.177
1,BLACK/AFRICAN AMERICAN,0.188,0.289
2,HISPANIC/LATINO,0.213,0.245
3,OTHER,0.14,0.173
4,ASIAN,0.149,0.29
5,AMERICAN INDIAN/ALASKA NATIVE,0.149,0.127
