,age,FPR_White,FPR_Black,FPR_Hisp,FPR_Other,FPR_Asian,FPR_American
0,60-80,0.16,0.242,0.18,0.123,0.207,0.043
1,40-60,0.228,0.327,0.359,0.177,0.198,0.225
2,20-40,0.235,0.299,0.268,0.238,0.31,1.0
3,80+,0.135,0.151,0.136,0.152,0.202,0.0
4,0-20,0.682,1.0,0.125,1.0,,
