race,FPR_F,CI_FPR_F,FPR_M,CI_FPR_M
AMERICAN INDIAN/ALASKA NATIVE,0.153,0.035,0.149,0.014
ASIAN,0.29,0.008,0.145,0.008
BLACK/AFRICAN AMERICAN,0.28,0.015,0.19,0.015
HISPANIC/LATINO,0.244,0.011,0.214,0.01
OTHER,0.162,0.011,0.14,0.008
WHITE,0.171,0.009,0.154,0.009
