,race,FPR_M,FPR_F
0,WHITE,0.144,0.162
1,BLACK/AFRICAN AMERICAN,0.178,0.268
2,HISPANIC/LATINO,0.199,0.231
3,OTHER,0.127,0.15
4,ASIAN,0.14,0.278
5,AMERICAN INDIAN/ALASKA NATIVE,0.162,0.127
