Age,FPR_White,CI_FPR_White,FPR_Black,CI_FPR_Black,FPR_Hisp,CI_FPR_Hisp,FPR_Other,CI_FPR_Other,FPR_Asian,CI_FPR_Asian,FPR_American,CI_FPR_American
0-20,0.255,0.013,0.191,0.018,,,0.571,0.0,0.6,0.0,,
20-40,0.2,0.012,0.136,0.005,0.205,0.011,0.211,0.014,0.21,0.015,0.136,0.022
40-60,0.145,0.015,0.182,0.016,0.046,0.006,0.165,0.013,0.237,0.023,0.237,0.022
60-80,0.089,0.012,0.07,0.018,0.115,0.012,0.084,0.013,0.087,0.014,0.037,0.003
80+,,,,,,,,,,,,
