Age,FPR_F,CI_FPR_F,FPR_M,CI_FPR_M
0-20,0.297,0.022,0.278,0.035
20-40,0.178,0.015,0.203,0.011
40-60,0.148,0.014,0.148,0.015
60-80,0.078,0.009,0.091,0.013
80+,,,,
