race,FPR_F,CI_FPR_F,FPR_M,CI_FPR_M
White,0.138,0.017,0.099,0.013
Black,0.146,0.012,0.102,0.014
Hisp,0.142,0.009,0.122,0.017
Other,0.057,0.011,0.109,0.006
Asian,0.131,0.013,0.145,0.013
American,0.089,0.009,0.112,0.013
