Age,#,FPR,CI_FPR
0-20,4475.429,0.219,0.095
20-40,4475.429,0.219,0.095
40-60,4475.429,0.219,0.095
60-80,4475.429,0.219,0.095
80+,4475.429,0.219,0.095
