Race,#,FPR,CI_FPR
White,20096.857,0.113,0.054
Black,20096.857,0.113,0.054
Hisp,20096.857,0.113,0.054
Other,20096.857,0.113,0.054
Asian,20096.857,0.113,0.054
American,20096.857,0.113,0.054
