,race,FPR_F,CI_FPR_F,FPR_M,CI_FPR_M
0,AMERICAN INDIAN/ALASKA NATIVE,0.099,0.0,0.105,0.0
1,ASIAN,0.109,0.0,0.072,0.0
2,BLACK/AFRICAN AMERICAN,0.212,0.0,0.162,0.0
3,HISPANIC/LATINO,0.193,0.0,0.157,0.0
4,OTHER,0.109,0.0,0.081,0.0
5,WHITE,0.121,0.0,0.105,0.0
