,age,FPR_White,FPR_Black,FPR_Hisp,FPR_Other,FPR_Asian,FPR_American
0,60-80,0.046,0.061,0.026,0.073,0.068,0.105
1,40-60,0.063,0.095,0.035,0.045,0.072,0.115
2,20-40,0.074,0.07,0.019,0.08,0.053,0.113
3,80+,0.051,0.082,0.047,0.099,0.027,0.0
4,0-20,0.015,0.0,0.333,0.333,0.0,0.333
