,age,FPR_White,FPR_Black,FPR_Hisp,FPR_Other,FPR_Asian,FPR_American
0,60-80,0.054,0.071,0.026,0.085,0.078,0.128
1,40-60,0.071,0.116,0.057,0.059,0.074,0.115
2,20-40,0.092,0.086,0.019,0.095,0.064,0.129
3,80+,0.072,0.095,0.07,0.118,0.052,0.091
4,0-20,0.015,0.0,0.333,0.333,0.0,0.667
