,age,FPR_White,FPR_Black,FPR_Hisp,FPR_Other,FPR_Asian,FPR_American
0,60-80,0.052,0.071,0.018,0.079,0.074,0.093
1,40-60,0.07,0.095,0.05,0.057,0.076,0.096
2,20-40,0.088,0.078,0.019,0.089,0.064,0.129
3,80+,0.061,0.075,0.047,0.113,0.03,0.0
4,0-20,0.044,0.0,0.333,0.333,0.0,0.333
