age,FPR_White,CI_FPR_White,FPR_Black,CI_FPR_Black,FPR_Hisp,CI_FPR_Hisp,FPR_Other,CI_FPR_Other,FPR_Asian,CI_FPR_Asian,FPR_American,CI_FPR_American
0-20,0.024,0.011,0.0,0.0,0.333,0.0,0.333,0.0,0.0,0.0,0.467,0.16
20-40,0.085,0.007,0.081,0.006,0.019,0.0,0.09,0.005,0.061,0.004,0.123,0.008
40-60,0.068,0.003,0.103,0.01,0.045,0.012,0.055,0.005,0.073,0.002,0.107,0.009
60-80,0.051,0.003,0.068,0.004,0.024,0.003,0.079,0.005,0.074,0.004,0.107,0.018
80-,0.062,0.009,0.087,0.008,0.056,0.011,0.109,0.009,0.038,0.011,0.036,0.044
