,race,FPR_M,FPR_F
0,WHITE,0.058,0.076
1,BLACK/AFRICAN AMERICAN,0.09,0.091
2,HISPANIC/LATINO,0.039,0.048
3,OTHER,0.071,0.091
4,ASIAN,0.067,0.075
5,AMERICAN INDIAN/ALASKA NATIVE,0.103,0.154
