,race,FPR_M,FPR_F
0,WHITE,0.048,0.063
1,BLACK/AFRICAN AMERICAN,0.077,0.074
2,HISPANIC/LATINO,0.031,0.034
3,OTHER,0.054,0.081
4,ASIAN,0.054,0.068
5,AMERICAN INDIAN/ALASKA NATIVE,0.103,0.111
