,race,FPR_M,FPR_F
0,WHITE,0.056,0.071
1,BLACK/AFRICAN AMERICAN,0.079,0.078
2,HISPANIC/LATINO,0.031,0.041
3,OTHER,0.067,0.087
4,ASIAN,0.059,0.074
5,AMERICAN INDIAN/ALASKA NATIVE,0.093,0.111
