,age,FPR_White,FPR_Black,FPR_Hisp,FPR_Other,FPR_Asian,FPR_American
0,60-80,0.048,0.067,0.026,0.074,0.074,0.081
1,40-60,0.065,0.095,0.028,0.053,0.07,0.096
2,20-40,0.081,0.086,0.019,0.089,0.059,0.113
3,80+,0.052,0.088,0.047,0.099,0.03,0.0
4,0-20,0.029,0.0,0.333,0.333,0.0,0.333
