,race,FPR_M,FPR_F
0,WHITE,0.054,0.06
1,BLACK/AFRICAN AMERICAN,0.088,0.074
2,HISPANIC/LATINO,0.031,0.027
3,OTHER,0.066,0.079
4,ASIAN,0.057,0.071
5,AMERICAN INDIAN/ALASKA NATIVE,0.093,0.094
