,age,FPR_White,CI_FPR_White,FPR_Black,CI_FPR_Black,FPR_Hisp,CI_FPR_Hisp,FPR_Other,CI_FPR_Other,FPR_Asian,CI_FPR_Asian,FPR_American,CI_FPR_American
0,0-20,0.0,0.0,0.0,0.0,0.333,0.0,0.333,0.0,0.0,0.0,0.333,0.0
1,20-40,0.073,0.0,0.078,0.0,0.019,0.0,0.095,0.0,0.064,0.0,0.097,0.0
2,40-60,0.062,0.0,0.059,0.0,0.05,0.0,0.05,0.0,0.06,0.0,0.058,0.0
3,60-80,0.038,0.0,0.061,0.0,0.026,0.0,0.064,0.0,0.07,0.0,0.07,0.0
4,80+,0.056,0.0,0.034,0.0,0.07,0.0,0.09,0.0,0.03,0.0,0.0,0.0
