,Race,#,FPR,CI_FPR,FNR,CI_FNR
0,White,20900.0,0.111,0.0,0.254,0.0
1,Black,3225.0,0.187,0.0,0.168,0.0
2,Hisp,1256.0,0.172,0.0,0.164,0.0
3,Other,2941.0,0.094,0.0,0.207,0.0
4,Asian,2361.0,0.086,0.0,0.215,0.0
5,American,343.0,0.102,0.0,0.336,0.0
