,Age,#,FPR,CI_FPR,FNR,CI_FNR
0,0-20,125.0,0.048,0.0,0.122,0.0
1,20-40,1797.0,0.074,0.0,0.15,0.0
2,40-60,4770.0,0.059,0.0,0.183,0.0
3,60-80,6526.0,0.046,0.0,0.271,0.0
4,80+,3033.0,0.054,0.0,0.403,0.0
