index,FPR_0-20,FPR_20-40,FPR_40-60,FPR_60-80,FPR_80-
mean,0.1642,0.2056,0.13440000000000002,0.069,0.018999999999999996
std,0.02132369573971642,0.011907980517283355,0.007668115805072319,0.005744562646538028,0.004183300132670377
