Race,#,FPR,CI_FPR
White,7617.929,0.175,0.07
Black,7617.929,0.175,0.07
Hisp,7617.929,0.175,0.07
Other,7617.929,0.175,0.07
Asian,7617.929,0.175,0.07
American,7617.929,0.175,0.07
