Age,#,FPR,CI_FPR
0-20,4475.429,0.188,0.078
20-40,4475.429,0.188,0.078
40-60,4475.429,0.188,0.078
60-80,4475.429,0.188,0.078
80+,4475.429,0.188,0.078
