,race,FPR_60_80_M,FPR_40_60_M,FPR_20_40_M,FPR_80+_M,FPR_0_20_M,FPR_60_80_F,FPR_40_60_F,FPR_20_40_F,FPR_80+_F,FPR_0_20_F
0,WHITE,0.132,0.189,0.209,0.133,0.545,0.152,0.245,0.268,0.102,0.727
1,BLACK/AFRICAN AMERICAN,0.165,0.261,0.162,0.087,1.0,0.265,0.305,0.416,0.149,
2,HISPANIC/LATINO,0.154,0.277,0.244,0.048,,0.172,0.376,0.423,0.156,0.125
3,OTHER,0.133,0.144,0.368,0.118,,0.1,0.18,0.205,0.102,0.8
4,ASIAN,0.129,0.182,0.083,0.111,,0.281,0.191,0.647,0.37,
5,AMERICAN INDIAN/ALASKA NATIVE,0.0,0.2,1.0,,,0.087,0.333,,0.0,
